fk_pcg_version,pcg_type,pcg_subtype,account_number,account_parent,label
SKR04,Anlagevermögen,Sachanlagen,225,200,Grundstücke mit Substanzverkehr
SKR04,Anlagevermögen,Sachanlagen,229,200,Grundstücksanteil des häuslichen Arbeitszimmers
SKR04,Anlagevermögen,Sachanlagen,230,200,Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten
SKR04,Anlagevermögen,Sachanlagen,235,200,Grundstückswerte eigener bebauter Grundstücke
SKR04,Anlagevermögen,Sachanlagen,240,200,Geschäftsbauten
SKR04,Anlagevermögen,Sachanlagen,250,200,Fabrikbauten
SKR04,Anlagevermögen,Sachanlagen,260,200,Andere Bauten
SKR04,Anlagevermögen,Sachanlagen,270,200,Garagen
SKR04,Anlagevermögen,Sachanlagen,280,200,"Außenanlagen für Geschäfts-, Fabrik- und andere Bauten"
SKR04,Anlagevermögen,Sachanlagen,285,200,Hof- und Wegbefestigungen
SKR04,Anlagevermögen,Sachanlagen,290,200,Einrichtungen für Geschäfts-. Fabrik- und andere Bauten
SKR04,Anlagevermögen,Sachanlagen,300,200,Wohnbauten
SKR04,Anlagevermögen,Sachanlagen,305,200,Garagen
SKR04,Anlagevermögen,Sachanlagen,310,200,Außenanlagen
SKR04,Anlagevermögen,Sachanlagen,315,200,Hof- und Wegbefestigungen
SKR04,Anlagevermögen,Sachanlagen,320,200,Einrichtungen für Wohnbauten
SKR04,Anlagevermögen,Sachanlagen,329,200,Gebäudeteil des häuslichen Arbeitszimmers
SKR04,Anlagevermögen,Sachanlagen,330,200,Bauten auf fremden Grundstücken
SKR04,Anlagevermögen,Sachanlagen,340,200,Geschäftsbauten
SKR04,Anlagevermögen,Sachanlagen,350,200,Fabrikbauten
SKR04,Anlagevermögen,Sachanlagen,360,200,Wohnbauten
SKR04,Anlagevermögen,Sachanlagen,370,200,Andere Bauten
SKR04,Anlagevermögen,Sachanlagen,380,200,Garagen
SKR04,Anlagevermögen,Sachanlagen,390,200,Außenanlagen
SKR04,Anlagevermögen,Sachanlagen,395,200,Hof- und Wegbefestigungen
SKR04,Anlagevermögen,Sachanlagen,398,200,"Einrichtungen für Geschäfts-. Fabrik-, Wohn- und andere Bauten"
SKR04,Anlagevermögen,Sachanlagen,400,0,Technische Anlagen und Maschinen
SKR04,Anlagevermögen,Sachanlagen,420,400,Technische Anlagen
SKR04,Anlagevermögen,Sachanlagen,440,400,Maschinen
SKR04,Anlagevermögen,Sachanlagen,450,400,Transportanlagen und Ähnlichen
SKR04,Anlagevermögen,Sachanlagen,460,400,Maschinengebundene Werkzeuge
SKR04,Anlagevermögen,Sachanlagen,470,400,Betriebsvorrichtungen
SKR04,Anlagevermögen,Sachanlagen,500,0,"Andere Anlagen, Betriebs- und Geschäftsausstattungen"
SKR04,Anlagevermögen,Sachanlagen,510,500,Andere Anlagen
SKR04,Anlagevermögen,Sachanlagen,520,500,PKW
SKR04,Anlagevermögen,Sachanlagen,540,500,LKW
SKR04,Anlagevermögen,Sachanlagen,560,500,Sonstige Transportmittel
SKR04,Anlagevermögen,Sachanlagen,620,500,Werkzeuge
SKR04,Anlagevermögen,Sachanlagen,630,500,Betriebsausstattung
SKR04,Anlagevermögen,Sachanlagen,635,500,Geschäftsausstattung
SKR04,Anlagevermögen,Sachanlagen,640,500,Ladeneinrichtung
SKR04,Anlagevermögen,Sachanlagen,650,500,Büroeinrichtung
SKR04,Anlagevermögen,Sachanlagen,660,500,Gerüst- und Schalungsmaterial
SKR04,Anlagevermögen,Sachanlagen,670,500,Geringwertige Wirtschaftsgüter
SKR04,Anlagevermögen,Sachanlagen,675,500,Wirtschaftsgüter (Sammelposten)
SKR04,Anlagevermögen,Sachanlagen,680,500,Einbauten in fremde Grundstücke
SKR04,Anlagevermögen,Sachanlagen,690,500,Sonstige Betriebs- und Geschäftsausstattung
SKR04,Anlagevermögen,Sachanlagen,700,0,Geleistete Anzahlungen und Anlagen im Bau
SKR04,Anlagevermögen,Sachanlagen,705,700,Anzahlungen auf Grundstücke und grundstücksgleiche Rechte ohne Bauten
SKR04,Anlagevermögen,Sachanlagen,710,700,"Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken"
SKR04,Anlagevermögen,Sachanlagen,720,700,"Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten"
SKR04,Anlagevermögen,Sachanlagen,725,700,Wohnbauten im Bau auf eigenen Grundstücken
SKR04,Anlagevermögen,Sachanlagen,735,700,Anzahlungen auf Wohnbauten auf eigene Grundstücken und grundstücksgleichen Rechten
SKR04,Anlagevermögen,Sachanlagen,740,700,"Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken"
SKR04,Anlagevermögen,Sachanlagen,750,700,"Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken"
SKR04,Anlagevermögen,Sachanlagen,755,700,Wohnbauten im Bau auf fremden Grundstücken
SKR04,Anlagevermögen,Sachanlagen,765,700,Anzahlungen auf Wohnbauten auf fremden Grundstücken
SKR04,Anlagevermögen,Sachanlagen,770,700,Technische Anlagen und Maschinen im Bau
SKR04,Anlagevermögen,Sachanlagen,780,700,Anzahlungen auf technische Anlagen und Maschinen
SKR04,Anlagevermögen,Sachanlagen,785,700,"Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau"
SKR04,Anlagevermögen,Sachanlagen,795,700,"Anzahlungen auf andere Anlagen, Betriebs- und Geschäftsausstattung"
SKR04,Anlagevermögen,Finanzanlagen,800,700,Anteile an verbundenen Unternehmen (Anlagevermögen)
SKR04,Anlagevermögen,Finanzanlagen,803,800,"Anteile an verbundenen Unternehmen, Personengesellschaften"
SKR04,Anlagevermögen,Finanzanlagen,804,800,"Anteile an verbundenen Unternehmen, Kapitalgesellschaften"
SKR04,Anlagevermögen,Finanzanlagen,805,800,"Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften"
SKR04,Anlagevermögen,Finanzanlagen,808,800,"Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Kapitalgesellschaften"
SKR04,Anlagevermögen,Finanzanlagen,809,800,Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft
SKR04,Anlagevermögen,Finanzanlagen,810,700,Ausleihungen an verbundene Unternehmen
SKR04,Anlagevermögen,Finanzanlagen,813,810,"Ausleihungen an verbundene Unternehmen, Personengesellschaften"
SKR04,Anlagevermögen,Finanzanlagen,814,810,"Ausleihungen an verbundene Unternehmen, Kapitalgesellschaften"
SKR04,Anlagevermögen,Finanzanlagen,815,810,"Ausleihungen an verbundene Unternehmen, Einzelunternehmen"
SKR04,Anlagevermögen,Finanzanlagen,820,700,Beteiligungen
SKR04,Anlagevermögen,Finanzanlagen,829,820,Beteiligung einer GmbH & Co. KG an einer Komplementär GmbH
SKR04,Anlagevermögen,Finanzanlagen,830,820,Typisch stille Beteiligungen
SKR04,Anlagevermögen,Finanzanlagen,840,820,Atypische stille Beteiligungen
SKR04,Anlagevermögen,Finanzanlagen,850,820,Beteiligungen an Kapitalgesellschaften
SKR04,Anlagevermögen,Finanzanlagen,860,820,Beteiligungen an Personengesellschaften
SKR04,Anlagevermögen,Finanzanlagen,880,700,"Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht"
SKR04,Anlagevermögen,Finanzanlagen,883,880,"Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Personengesellschaften"
SKR04,Anlagevermögen,Finanzanlagen,885,880,"Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht, Kapitalgesellschaften"
SKR04,Anlagevermögen,Finanzanlagen,900,0,Wertpapiere des Anlagevermögens
SKR04,Anlagevermögen,Finanzanlagen,910,900,"Wertpapiere mit Gewinnbeteiligungsansprüchen, die dem Teileinkünfteverfahren unterliegen"
SKR04,Anlagevermögen,Finanzanlagen,920,900,Festverzinsliche Wertpapiere
SKR04,Anlagevermögen,Finanzanlagen,930,0,Sonstige Ausleihungen
SKR04,Anlagevermögen,Finanzanlagen,940,930,Darlehen
SKR04,Anlagevermögen,Finanzanlagen,960,930,Ausleihungen an Gesellschafter
SKR04,Anlagevermögen,Finanzanlagen,963,930,Ausleihungen an GmbH-Gesellschafter
SKR04,Anlagevermögen,Finanzanlagen,962,930,Ausleihungen an persönlich haftende Gesellschafter
SKR04,Anlagevermögen,Finanzanlagen,963,930,Ausleihungen an Kommanditisten
SKR04,Anlagevermögen,Finanzanlagen,964,930,Ausleihungen an stille Gesellschafter
SKR04,Anlagevermögen,Finanzanlagen,970,930,Ausleihungen an nahe stehende Personen
SKR04,Anlagevermögen,Finanzanlagen,980,0,Genossenschaftsanteile zum langfristigen Verbleib
SKR04,Anlagevermögen,Finanzanlagen,990,0,Rückdeckungsansprüche aus Lebensversicherungen zum langfristigen Verbleib
SKR04,Umlaufvermögen,Umlaufvermögen,1,1,Umlaufvermögen
SKR04,Umlaufvermögen,Vorräte,1000,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1001,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1002,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1003,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1004,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1005,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1006,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1007,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1008,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1009,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1010,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1011,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1012,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1013,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1014,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1015,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1016,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1017,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1018,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1019,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1020,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1021,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1022,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1023,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1024,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1025,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1026,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1027,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1028,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1029,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1030,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1031,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1032,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1033,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1034,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1035,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1036,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1037,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1038,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1039,1,"Roh-, Hilfs- und Betriebsstoffe (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1040,1,"Unfertige Erzeugnisse, unfertige Leistungen (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1041,1,"Unfertige Erzeugnisse, unfertige Leistungen (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1042,1,"Unfertige Erzeugnisse, unfertige Leistungen (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1043,1,"Unfertige Erzeugnisse, unfertige Leistungen (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1044,1,"Unfertige Erzeugnisse, unfertige Leistungen (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1045,1,"Unfertige Erzeugnisse, unfertige Leistungen (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1046,1,"Unfertige Erzeugnisse, unfertige Leistungen (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1047,1,"Unfertige Erzeugnisse, unfertige Leistungen (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1048,1,"Unfertige Erzeugnisse, unfertige Leistungen (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1049,1,"Unfertige Erzeugnisse, unfertige Leistungen (Bestand)"
SKR04,Umlaufvermögen,Vorräte,1050,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1051,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1052,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1053,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1054,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1055,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1056,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1057,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1058,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1059,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1060,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1061,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1062,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1063,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1064,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1065,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1066,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1067,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1068,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1069,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1070,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1071,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1072,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1073,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1074,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1075,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1076,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1077,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1078,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1079,1040,Unfertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1080,1040,Unfertige Leistungen (Bestand)
SKR04,Umlaufvermögen,Vorräte,1081,1040,Unfertige Leistungen (Bestand)
SKR04,Umlaufvermögen,Vorräte,1082,1040,Unfertige Leistungen (Bestand)
SKR04,Umlaufvermögen,Vorräte,1083,1040,Unfertige Leistungen (Bestand)
SKR04,Umlaufvermögen,Vorräte,1084,1040,Unfertige Leistungen (Bestand)
SKR04,Umlaufvermögen,Vorräte,1085,1040,Unfertige Leistungen (Bestand)
SKR04,Umlaufvermögen,Vorräte,1086,1040,Unfertige Leistungen (Bestand)
SKR04,Umlaufvermögen,Vorräte,1087,1040,Unfertige Leistungen (Bestand)
SKR04,Umlaufvermögen,Vorräte,1088,1040,Unfertige Leistungen (Bestand)
SKR04,Umlaufvermögen,Vorräte,1089,1040,Unfertige Leistungen (Bestand)
SKR04,Umlaufvermögen,Vorräte,1090,1040,In Ausführung befindliche Bauaufträge
SKR04,Umlaufvermögen,Vorräte,1091,1040,In Ausführung befindliche Bauaufträge
SKR04,Umlaufvermögen,Vorräte,1092,1040,In Ausführung befindliche Bauaufträge
SKR04,Umlaufvermögen,Vorräte,1093,1040,In Ausführung befindliche Bauaufträge
SKR04,Umlaufvermögen,Vorräte,1094,1040,In Ausführung befindliche Bauaufträge
SKR04,Umlaufvermögen,Vorräte,1095,1040,In Arbeit befindliche Aufträge
SKR04,Umlaufvermögen,Vorräte,1096,1040,In Arbeit befindliche Aufträge
SKR04,Umlaufvermögen,Vorräte,1097,1040,In Arbeit befindliche Aufträge
SKR04,Umlaufvermögen,Vorräte,1098,1040,In Arbeit befindliche Aufträge
SKR04,Umlaufvermögen,Vorräte,1099,1040,In Arbeit befindliche Aufträge
SKR04,Umlaufvermögen,Vorräte,1100,1,Fertige Erzeugnisse und Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1101,1,Fertige Erzeugnisse und Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1102,1,Fertige Erzeugnisse und Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1103,1,Fertige Erzeugnisse und Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1104,1,Fertige Erzeugnisse und Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1105,1,Fertige Erzeugnisse und Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1106,1,Fertige Erzeugnisse und Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1107,1,Fertige Erzeugnisse und Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1108,1,Fertige Erzeugnisse und Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1109,1,Fertige Erzeugnisse und Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1110,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1111,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1112,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1113,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1114,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1115,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1116,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1117,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1118,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1119,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1120,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1121,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1122,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1123,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1124,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1125,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1126,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1127,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1128,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1129,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1130,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1131,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1132,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1133,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1134,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1135,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1136,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1137,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1138,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1139,1100,Fertige Erzeugnisse (Bestand)
SKR04,Umlaufvermögen,Vorräte,1140,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1141,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1142,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1143,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1144,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1145,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1146,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1147,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1148,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1149,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1150,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1151,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1152,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1153,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1154,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1155,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1156,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1157,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1158,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1159,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1160,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1161,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1162,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1163,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1164,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1165,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1166,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1167,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1168,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1169,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1170,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1171,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1172,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1173,1100,Waren (Bestand)
SKR04,Umlaufvermögen,Vorräte,1174,1100,Waren (Bestand)
